attempts,completions,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,fpts_ppr_projected,player_id,player_name,position,team,age,age_multiplier,projection_confidence,games_recent,games,fpts_ppr_actual,error,abs_error,pct_error
,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,34.0,334.0,1.2,74.6,00-0034646,Brandon Powell,WR,MIN,29.0,0.98,Medium,13,7,14.1,60.49999999999999,60.49999999999999,429.1
,,0.0,0.0,0.0,0.0,0.0,0.0,76.0,53.0,635.0,5.4,148.9,00-0034753,Mark Andrews,TE,BAL,29.0,1.02,Medium,11,19,203.4,-54.5,54.5,-26.8
,,0.0,0.0,0.0,0.0,0.0,0.0,94.0,62.0,821.0,4.4,170.5,00-0034775,Christian Kirk,WR,JAX,28.0,1.02,Medium,12,8,70.9,99.6,99.6,140.5
468.0,304.0,3550.0,24.1,9.4,971.0,1001.0,5.7,0.0,0.0,0.0,0.0,353.9,00-0034796,Lamar Jackson,QB,BAL,28.0,1.02,High,18,19,471.54,-117.64000000000004,117.64000000000004,-24.9
,,0.0,0.0,0.0,0.0,0.0,0.0,52.0,42.0,411.0,0.6,86.7,00-0034798,Durham Smythe,TE,MIA,29.0,1.02,High,14,13,14.3,72.4,72.4,506.3
,,0.0,0.0,0.0,0.0,0.0,0.0,140.0,89.0,1266.0,7.3,259.4,00-0034827,DJ Moore,WR,CHI,27.0,1.03,High,17,17,238.1,21.299999999999983,21.299999999999983,8.9
,,0.0,0.0,0.0,0.0,0.0,0.0,52.0,33.0,331.0,2.9,83.5,00-0034829,Mike Gesicki,TE,NE,29.0,1.02,High,15,16,141.5,-58.0,58.0,-41.0
,,0.0,0.0,0.0,0.0,0.0,0.0,46.0,30.0,282.0,1.9,69.6,00-0034830,Hayden Hurst,TE,CAR,31.0,0.97,Medium,9,7,15.3,54.3,54.3,354.9
,,0.0,0.0,0.0,0.0,0.0,0.0,126.0,72.0,918.0,7.0,205.8,00-0034837,Calvin Ridley,WR,JAX,30.0,0.93,High,17,17,199.2,6.600000000000023,6.600000000000023,3.3
,,0.0,0.0,0.0,241.0,954.0,6.2,58.0,41.0,282.0,1.7,212.0,00-0034844,Saquon Barkley,RB,NYG,28.0,0.86,High,14,20,455.7000000000001,-243.7000000000001,243.7000000000001,-53.5
,,0.0,0.0,0.0,0.0,0.0,0.0,21.0,13.0,204.0,0.3,35.2,00-0034854,KhaDarel Hodge,WR,ATL,31.0,0.87,Medium,13,6,32.1,3.1000000000000014,3.1000000000000014,9.7
578.0,360.0,4056.0,25.2,12.2,169.0,153.0,1.1,0.0,0.0,0.0,0.0,260.5,00-0034855,Baker Mayfield,QB,TB,29.0,1.03,High,19,18,381.5,-121.0,121.0,-31.7
641.0,420.0,4712.0,35.2,16.4,705.0,657.0,12.0,0.0,0.0,0.0,0.0,434.2,00-0034857,Josh Allen,QB,BUF,28.0,1.02,High,19,19,438.28,-4.079999999999984,4.079999999999984,-0.9
187.0,111.0,1309.0,6.9,4.8,112.0,151.0,3.4,0.0,0.0,0.0,0.0,105.9,00-0034869,Sam Darnold,QB,SF,27.0,1.0,Low,10,18,319.66,-213.76000000000002,213.76000000000002,-66.9
,,0.0,0.0,0.0,0.0,0.0,0.0,95.0,65.0,744.0,5.5,172.4,00-0034960,Jakobi Meyers,WR,LV,28.0,1.02,High,16,15,218.0,-45.599999999999994,45.599999999999994,-20.9
,,0.0,0.0,0.0,170.0,663.0,2.0,34.0,25.0,163.0,1.0,125.6,00-0034972,Alexander Mattison,RB,MIN,26.0,1.0,High,16,14,137.4,-11.800000000000011,11.800000000000011,-8.6
,,0.0,0.0,0.0,71.0,339.0,1.6,32.0,24.0,165.0,1.0,90.0,00-0034975,Justice Hill,RB,BAL,27.0,0.94,High,18,17,147.3,-57.30000000000001,57.30000000000001,-38.9
,,0.0,0.0,0.0,0.0,0.0,0.0,34.0,25.0,278.0,1.7,63.0,00-0034981,Foster Moreau,TE,NO,27.0,1.01,Medium,11,15,103.3,-40.3,40.3,-39.0
,,0.0,0.0,0.0,0.0,0.0,0.0,45.0,28.0,286.0,2.1,69.2,00-0035140,Mecole Hardman,WR,KC,26.0,1.02,Medium,8,7,33.2,36.0,36.0,108.4
,,0.0,0.0,0.0,0.0,0.0,0.0,32.0,19.0,266.0,2.1,58.2,00-0035208,Olamide Zaccheaus,WR,PHI,27.0,1.03,Medium,12,18,127.9,-69.7,69.7,-54.5
,,0.0,0.0,0.0,0.0,0.0,0.0,104.0,62.0,746.0,4.4,163.0,00-0035216,Diontae Johnson,WR,PIT,28.0,1.02,High,14,7,84.3,78.7,78.7,93.4
520.0,345.0,3479.0,20.2,10.0,514.0,575.0,6.3,0.0,0.0,0.0,0.0,295.3,00-0035228,Kyler Murray,QB,ARI,27.0,1.0,Medium,8,17,297.24,-1.9399999999999977,1.9399999999999977,-0.7
,,0.0,0.0,0.0,0.0,0.0,0.0,137.0,98.0,1036.0,6.0,237.6,00-0035229,T.J. Hockenson,TE,MIN,27.0,1.01,High,15,11,103.9,133.7,133.7,128.7
,,0.0,0.0,0.0,119.0,514.0,2.7,32.0,22.0,121.0,1.0,107.7,00-0035243,Miles Sanders,RB,CAR,27.0,0.94,High,16,11,77.30000000000001,30.39999999999999,30.39999999999999,39.3
,,0.0,0.0,0.0,0.0,0.0,0.0,34.0,24.0,235.0,2.2,60.7,00-0035249,Josh Oliver,TE,MIN,27.0,1.01,Medium,12,12,67.3,-6.599999999999994,6.599999999999994,-9.8
,,0.0,0.0,0.0,160.0,690.0,3.9,32.0,25.0,166.0,1.0,140.0,00-0035250,Devin Singletary,RB,HOU,27.0,0.94,High,19,15,96.6,43.400000000000006,43.400000000000006,44.9
,,0.0,0.0,0.0,231.0,1014.0,6.8,56.0,44.0,292.0,1.7,225.6,00-0035261,Tony Pollard,RB,DAL,27.0,0.94,High,18,16,200.7,24.900000000000006,24.900000000000006,12.4
486.0,305.0,3435.0,18.1,10.0,109.0,97.0,2.6,0.0,0.0,0.0,0.0,215.1,00-0035289,Gardner Minshew,QB,IND,28.0,1.02,High,16,10,96.32,118.78,118.78,123.3
,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,16.0,218.0,3.0,55.8,00-0035406,Lil'Jordan Humphrey,WR,DEN,26.0,1.02,Medium,11,14,64.3,-8.5,8.5,-13.2
,,0.0,0.0,0.0,0.0,0.0,0.0,66.0,45.0,455.0,2.7,106.7,00-0035500,Greg Dortch,WR,ARI,26.0,1.02,Medium,9,17,90.3,16.400000000000006,16.400000000000006,18.2
,,0.0,0.0,0.0,0.0,0.0,0.0,87.0,52.0,798.0,3.4,152.2,00-0035535,Darius Slayton,WR,NYG,28.0,1.02,High,17,16,110.0,42.19999999999999,42.19999999999999,38.4
,,0.0,0.0,0.0,82.0,370.0,0.9,19.0,12.0,105.0,0.6,68.5,00-0035537,Ty Johnson,RB,BUF,27.0,0.94,Medium,9,20,114.5,-46.0,46.0,-40.2
,,0.0,0.0,0.0,63.0,269.0,1.7,17.0,16.0,157.0,0.5,71.8,00-0035567,Craig Reynolds,RB,DET,28.0,0.86,Low,7,7,20.9,50.9,50.9,243.5
,,0.0,0.0,0.0,26.0,100.0,0.2,0.0,0.0,0.0,0.0,11.2,00-0035628,D'Ernest Johnson,RB,JAX,29.0,0.76,High,15,12,35.9,-24.7,24.7,-68.8
,,0.0,0.0,0.0,0.0,0.0,0.0,26.0,21.0,129.0,1.2,41.1,00-0035631,Drew Sample,TE,CIN,28.0,1.02,High,14,11,36.5,4.600000000000001,4.600000000000001,12.6
,,0.0,0.0,0.0,0.0,0.0,0.0,123.0,73.0,1081.0,8.3,230.9,00-0035640,DK Metcalf,WR,SEA,27.0,1.03,High,16,15,191.2,39.70000000000002,39.70000000000002,20.8
,,0.0,0.0,0.0,0.0,0.0,0.0,52.0,39.0,442.0,1.4,91.6,00-0035644,Noah Fant,TE,SEA,27.0,1.01,High,14,14,104.0,-12.400000000000006,12.400000000000006,-11.9
,,0.0,0.0,0.0,0.0,0.0,0.0,133.0,82.0,1106.0,4.5,219.6,00-0035659,Terry McLaurin,WR,WAS,29.0,0.98,High,17,20,322.5,-102.9,102.9,-31.9
,,0.0,0.0,0.0,0.0,0.0,0.0,158.0,102.0,1481.0,8.8,302.9,00-0035676,A.J. Brown,WR,PHI,27.0,1.03,High,17,17,257.2,45.69999999999999,45.69999999999999,17.8
